index,model,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,pi,score,mape,rmse,coverage,success,experiment_id,run_id,subba
44,LinearRegressionModel,2024-07-05 18:29:00,2024-07-05,2024-07-05 00:00:00,2024-07-05,2024-07-05 23:00:00,24,24,True,True,0.95,True,0.0450519174198491,10.195642855380244,0.875,True,439653529168934435,918b5b34966d435bbe37e51f3ab2971b,VEA
45,LinearRegressionModel,2024-07-06 18:24:33,2024-07-06,2024-07-06 00:00:00,2024-07-06,2024-07-06 23:00:00,24,24,True,True,0.95,True,0.0665623819544198,1216.3586990786196,0.4583333333333333,True,621472824257067040,5c4c0a690115471dab9533fc41bf90af,PGAE
46,LinearRegressionModel,2024-07-06 18:25:58,2024-07-06,2024-07-06 00:00:00,2024-07-06,2024-07-06 23:00:00,24,24,True,True,0.95,True,0.0587535683444506,1089.755003560816,0.75,True,496116640179389066,88e6e490e82b4114a0bd569d4f5838f5,SCE
47,LinearRegressionModel,2024-07-06 18:26:51,2024-07-06,2024-07-06 00:00:00,2024-07-06,2024-07-06 23:00:00,24,24,True,True,0.95,True,0.0736178706534647,219.52313427132032,1.0,True,913335053676401493,c9131b1ddd5a49d2a4b9d0daa2ec2a47,SDGE
48,LinearRegressionModel,2024-07-06 18:27:32,2024-07-06,2024-07-06 00:00:00,2024-07-06,2024-07-06 23:00:00,24,24,True,True,0.95,True,0.0610731521805603,10.906075635653965,0.9166666666666666,True,465709988417263042,886d5ce1f2a547b8b02e14f54e559b74,VEA
49,LinearRegressionModel,2024-07-07 18:24:39,2024-07-07,2024-07-07 00:00:00,2024-07-07,2024-07-07 23:00:00,24,24,True,True,0.95,True,0.0620596844680681,991.2718661491564,0.7083333333333334,True,546086418753536238,8677b116e1b4475ea4e3f21ce8e6f5c5,PGAE
50,LinearRegressionModel,2024-07-07 18:26:04,2024-07-07,2024-07-07 00:00:00,2024-07-07,2024-07-07 23:00:00,24,24,True,True,0.95,True,0.0390431828799599,605.9801692365581,1.0,True,556655652584952797,739b7f2cc0b741e8a99f69663ae7fbd6,SCE
51,LinearRegressionModel,2024-07-07 18:26:57,2024-07-07,2024-07-07 00:00:00,2024-07-07,2024-07-07 23:00:00,24,24,True,True,0.95,True,0.0347057193626747,86.0042682094071,1.0,True,517030034878725980,43c4f288774e4451a56eb46a31b73346,SDGE
52,LinearRegressionModel,2024-07-07 18:27:38,2024-07-07,2024-07-07 00:00:00,2024-07-07,2024-07-07 23:00:00,24,24,True,True,0.95,True,0.1110451536958924,27.718060103807552,0.8333333333333334,True,843518127369991153,b47466015b0046e7887bda2a96923e6a,VEA
53,LinearRegressionModel,2024-07-08 16:26:00,2024-07-08,2024-07-08 00:00:00,2024-07-08,2024-07-08 23:00:00,24,24,True,True,0.95,True,0.1018388475835122,1665.101261633701,0.5,True,245914134578161537,889ea147cb204554ba19edbea849347d,PGAE
